sample_id,population_id,superpopulation,dataset,country,neural_ancestry
NA19751,MXL,American,kg,,
NA19752,MXL,American,kg,,
NA19755,MXL,American,kg,,
NA19756,MXL,American,kg,,
NA19757,MXL,American,kg,,
NA19758,MXL,American,kg,,
NA19759,MXL,American,kg,,
NA19760,MXL,American,kg,,
NA19761,MXL,American,kg,,
NA19762,MXL,American,kg,,
NA19763,MXL,American,kg,,
NA19764,MXL,American,kg,,
NA19770,MXL,American,kg,,
NA19771,MXL,American,kg,,
NA19772,MXL,American,kg,,
NA19773,MXL,American,kg,,
NA19774,MXL,American,kg,,
NA19775,MXL,American,kg,,
NA19776,MXL,American,kg,,
NA19777,MXL,American,kg,,
NA19778,MXL,American,kg,,
NA19779,MXL,American,kg,,
NA19780,MXL,American,kg,,
NA19781,MXL,American,kg,,
NA19782,MXL,American,kg,,
NA19783,MXL,American,kg,,
NA19784,MXL,American,kg,,
NA19785,MXL,American,kg,,
NA19786,MXL,American,kg,,
NA19787,MXL,American,kg,,
NA19788,MXL,American,kg,,
NA19789,MXL,American,kg,,
NA19790,MXL,American,kg,,
NA19792,MXL,American,kg,,
NA19794,MXL,American,kg,,
NA19795,MXL,American,kg,,
NA19796,MXL,American,kg,,
NA19818,ASW,African,kg,,
NA19819,ASW,African,kg,,
NA19828,ASW,African,kg,,
NA19834,ASW,African,kg,,
NA19835,ASW,African,kg,,
NA19836,ASW,African,kg,,
NA19900,ASW,African,kg,,
NA19901,ASW,African,kg,,
NA19902,ASW,African,kg,,
NA19904,ASW,African,kg,,
NA19908,ASW,African,kg,,
NA19909,ASW,African,kg,,
NA19913,ASW,African,kg,,
NA19914,ASW,African,kg,,
NA19916,ASW,African,kg,,
NA19917,ASW,African,kg,,
NA19918,ASW,African,kg,,
NA19919,ASW,African,kg,,
NA19920,ASW,African,kg,,
NA19921,ASW,African,kg,,
NA19922,ASW,African,kg,,
NA19923,ASW,African,kg,,
NA19924,ASW,African,kg,,
NA19982,ASW,African,kg,,
NA19983,ASW,African,kg,,
NA19984,ASW,African,kg,,
NA20126,ASW,African,kg,,
NA20127,ASW,African,kg,,
NA20128,ASW,African,kg,,
NA20129,ASW,African,kg,,
NA20274,ASW,African,kg,,
NA20276,ASW,African,kg,,
NA20278,ASW,African,kg,,
NA20279,ASW,African,kg,,
NA20281,ASW,African,kg,,
NA20282,ASW,African,kg,,
NA20287,ASW,African,kg,,
NA20289,ASW,African,kg,,
NA20291,ASW,African,kg,,
NA20294,ASW,African,kg,,
NA20296,ASW,African,kg,,
NA20298,ASW,African,kg,,
NA20299,ASW,African,kg,,
NA20314,ASW,African,kg,,
NA20317,ASW,African,kg,,
NA20318,ASW,African,kg,,
NA20320,ASW,African,kg,,
NA20321,ASW,African,kg,,
NA20332,ASW,African,kg,,
NA20334,ASW,African,kg,,
NA20339,ASW,African,kg,,
NA20340,ASW,African,kg,,
NA20342,ASW,African,kg,,
NA20346,ASW,African,kg,,
NA20348,ASW,African,kg,,
NA20351,ASW,African,kg,,
NA20355,ASW,African,kg,,
NA20356,ASW,African,kg,,
NA20357,ASW,African,kg,,
NA20358,ASW,African,kg,,
NA20359,ASW,African,kg,,
NA20362,ASW,African,kg,,
NA20412,ASW,African,kg,,
NA20502,TSI,European,kg,,European
NA20503,TSI,European,kg,,European
NA20504,TSI,European,kg,,European
NA20505,TSI,European,kg,,European
NA20506,TSI,European,kg,,European
NA20507,TSI,European,kg,,European
NA20508,TSI,European,kg,,European
NA20509,TSI,European,kg,,European
NA20510,TSI,European,kg,,European
NA20511,TSI,European,kg,,European
NA20512,TSI,European,kg,,European
NA20513,TSI,European,kg,,European
NA20514,TSI,European,kg,,European
NA20515,TSI,European,kg,,European
NA20516,TSI,European,kg,,European
NA20517,TSI,European,kg,,European
NA20518,TSI,European,kg,,European
NA20519,TSI,European,kg,,European
NA20520,TSI,European,kg,,European
NA20521,TSI,European,kg,,European
NA20522,TSI,European,kg,,European
NA20524,TSI,European,kg,,European
NA20525,TSI,European,kg,,European
NA20527,TSI,European,kg,,European
NA20528,TSI,European,kg,,European
NA20529,TSI,European,kg,,European
