sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,East Asian,European,South Asian,max_ancestry,assigned_group
HG03303,ESN,African,kg,,African,yes,yes,0.999952,1e-05,1.8e-05,1e-05,1e-05,0.999952,African
HG03304,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03305,ESN,African,kg,,,yes,no,,,,,,,
HG03306,ESN,African,kg,,,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03307,ESN,African,kg,,,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03308,ESN,African,kg,,,yes,no,,,,,,,
HG03309,ESN,African,kg,,,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03310,ESN,African,kg,,,yes,no,,,,,,,
HG03311,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03312,ESN,African,kg,,,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03313,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03314,ESN,African,kg,,,yes,no,,,,,,,
HG03342,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03343,ESN,African,kg,,African,yes,yes,0.999952,1.8e-05,1e-05,1e-05,1e-05,0.999952,African
HG03344,ESN,African,kg,,,yes,no,,,,,,,
HG03350,ESN,African,kg,,,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03351,ESN,African,kg,,African,yes,no,,,,,,,
HG03352,ESN,African,kg,,African,yes,no,,,,,,,
HG03354,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03363,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03366,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03367,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03368,ESN,African,kg,,,yes,no,,,,,,,
HG03369,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03370,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03371,ESN,African,kg,,,yes,no,,,,,,,
HG03372,ESN,African,kg,,African,yes,no,,,,,,,
HG03373,ESN,African,kg,,,yes,yes,0.999957,1.3e-05,1e-05,1e-05,1e-05,0.999957,African
HG03374,ESN,African,kg,,,yes,no,,,,,,,
HG03376,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03378,MSL,African,kg,,African,yes,yes,0.999958,1e-05,1.2e-05,1e-05,1e-05,0.999958,African
