sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,European,max_ancestry,assigned_group
HG01069,PUR,American,kg,,,no,yes,0.086984,0.115895,0.797121,0.797121,European
HG01070,PUR,American,kg,,,no,yes,0.045558,0.115172,0.839269,0.839269,European
HG01071,PUR,American,kg,,,no,no,,,,,
HG01072,PUR,American,kg,,,no,yes,0.090973,0.098038,0.810989,0.810989,European
HG01073,PUR,American,kg,,,no,yes,0.077485,0.111812,0.810702,0.810702,European
HG01074,PUR,American,kg,,,no,no,,,,,
HG01075,PUR,American,kg,,,no,yes,0.094221,0.02654,0.879239,0.879239,European
HG01077,PUR,American,kg,,,no,yes,0.183048,0.154328,0.662624,0.662624,European
HG01079,PUR,American,kg,,,no,yes,0.168493,0.095957,0.73555,0.73555,European
HG01080,PUR,American,kg,,,no,yes,0.078047,0.160673,0.761281,0.761281,European
HG01081,PUR,American,kg,,,no,no,,,,,
HG01082,PUR,American,kg,,,no,yes,0.201404,0.123558,0.675039,0.675039,European
HG01083,PUR,American,kg,,,no,yes,0.095228,0.12254,0.782232,0.782232,European
HG01084,PUR,American,kg,,,no,no,,,,,
HG01085,PUR,American,kg,,,no,yes,0.128774,0.090102,0.781125,0.781125,European
HG01086,PUR,American,kg,,,no,yes,0.129118,0.141852,0.729029,0.729029,European
HG01087,PUR,American,kg,,,no,no,,,,,
HG01088,PUR,American,kg,,,no,yes,0.183023,0.088168,0.728809,0.728809,European
HG01089,PUR,American,kg,,,no,yes,0.150536,0.110245,0.739219,0.739219,European
HG01092,PUR,American,kg,,,no,yes,0.253339,0.086714,0.659947,0.659947,European
HG01094,PUR,American,kg,,,no,yes,0.138308,0.090924,0.770768,0.770768,European
HG01095,PUR,American,kg,,,no,yes,0.105812,0.102684,0.791504,0.791504,European
HG01096,PUR,American,kg,,,no,no,,,,,
HG01097,PUR,American,kg,,,no,yes,0.102139,0.111547,0.786313,0.786313,European
HG01098,PUR,American,kg,,,no,yes,0.101837,0.098056,0.800107,0.800107,European
HG01099,PUR,American,kg,,,no,no,,,,,
HG01100,PUR,American,kg,,,no,no,,,,,
HG01101,PUR,American,kg,,,no,yes,0.144441,0.130792,0.724767,0.724767,European
HG01102,PUR,American,kg,,,no,yes,0.180014,0.090839,0.729147,0.729147,European
HG01103,PUR,American,kg,,,no,no,,,,,
HG01104,PUR,American,kg,,,no,yes,0.091738,0.093551,0.81471,0.81471,European
